id;position_name;program_duration_in_weeks;required_skills;technologies;details;paid;observations;domain;company_id;cover_image_path
1;Secured Soft Universal;19971;Wooden iterate envisioneer;leading-edge JBOD;multi-state Dynamic Organic;false;Ergonomic turquoise;copy Principal;36010;optical
2;Cheese;19193;invoice revolutionize Louisiana;digital;magenta;false;access;Rustic Granite Ball Jewelery Assistant;9614;calculating
3;indexing SCSI benchmark;85947;Seamless;Planner;Savings Account;true;Road experiences back-end;Computer Granite;53665;payment Soft
4;Bond Markets Units European Composite Unit (EURCO);65016;Manager Money Market Account Senior;navigate;Norfolk Island;true;definition;cultivate Generic Advanced;91637;GB XML platforms
5;foreground;28811;Ergonomic Concrete Keyboard Mississippi Associate;world-class Developer;solid state;false;Cheese program;markets Handmade Concrete Hat;95979;Total generate orange
6;cutting-edge;34584;web-readiness;HTTP Executive deposit;auxiliary Handcrafted markets;true;Internal Florida;New Mexico District Functionality;71701;reboot
7;auxiliary process improvement;13738;Soft American Samoa Views;Curve;customized Checking Account Generic Wooden Table;false;hacking hacking Metrics;Practical Coordinator;16036;Generic THX primary
8;array microchip United Arab Emirates;11419;withdrawal Rubber CFA Franc BCEAO;Home Loan Account Gorgeous sticky;Function-based Practical Shirt;false;Intelligent Rubber Keyboard Kids e-business;Granite;72242;bricks-and-clicks Ball
9;Shoes Montenegro deposit;80396;COM array;online;Refined Metal Fish Handcrafted Senior;false;Illinois non-volatile Personal Loan Account;Clothing forecast;7344;Holy See (Vatican City State) Kids hybrid
10;composite red;35628;transmitting Handcrafted;Flats Intuitive;projection;false;feed;feed Rustic;13817;sky blue Vista reintermediate
