id;university;faculty;profile;year_of_study;cv_path;observations;cv_document;cv_document_content_type
1;Bedfordshire indigo radical;GB whiteboard;PCI frame Configuration;27204;Crossing;Bedfordshire program Stream;../fake-data/blob/hipster.png;image/png
2;Orchestrator;cross-platform connect Refined;Avon Shoes Bedfordshire;97640;Incredible Planner;invoice;../fake-data/blob/hipster.png;image/png
3;South Dakota adapter;Sao Tome and Principe South Dakota eco-centric;distributed;32278;Handmade;port Maine parsing;../fake-data/blob/hipster.png;image/png
4;bypassing;backing up Iran Intranet;Usability quantify;703;invoice;Soft;../fake-data/blob/hipster.png;image/png
5;payment revolutionary Glens;wireless dedicated Sports;program Legacy;44094;Developer Automotive Chief;Savings Account;../fake-data/blob/hipster.png;image/png
6;Investment Account;Key system generating;collaborative;64350;indexing;Computer;../fake-data/blob/hipster.png;image/png
7;Frozen;Berkshire;Interactions Course;75882;Multi-lateral copying deposit;Legacy Garden Regional;../fake-data/blob/hipster.png;image/png
8;Illinois Money Market Account circuit;compress Virgin Islands, British Health;cutting-edge cross-platform Intranet;87886;Ukraine;navigating;../fake-data/blob/hipster.png;image/png
9;Ferry Distributed Grass-roots;hack infomediaries Awesome;Soft generate;35353;uniform Books;Azerbaijanian Manat stable;../fake-data/blob/hipster.png;image/png
10;Checking Account Avon Kids;redundant transmitter;Direct;3464;Triple-buffered Global 24/7;microchip Buckinghamshire;../fake-data/blob/hipster.png;image/png
